iter	Passed	Remaining
889	9793	1210
890	9803	1199
891	9813	1188
892	9822	1176
893	9832	1165
894	9841	1154
895	9851	1143
896	9859	1132
897	9868	1120
898	9878	1109
899	9887	1098
900	9896	1087
901	9905	1076
902	9914	1065
903	9923	1053
904	9935	1042
905	9944	1031
906	9953	1020
907	9962	1009
908	9971	998
909	9980	987
910	9991	976
911	10000	964
912	10010	953
913	10020	942
914	10030	931
915	10040	920
916	10049	909
917	10060	898
918	10072	887
919	10082	876
920	10091	865
921	10101	854
922	10110	843
923	10119	832
924	10128	821
925	10139	810
926	10149	799
927	10159	788
928	10170	777
929	10181	766
930	10191	755
931	10203	744
932	10214	733
933	10225	722
934	10234	711
935	10244	700
936	10253	689
937	10264	678
938	10273	667
939	10283	656
940	10292	645
941	10302	634
942	10312	623
943	10321	612
944	10332	601
945	10344	590
946	10354	579
947	10364	568
948	10375	557
949	10385	546
950	10397	535
951	10406	524
952	10417	513
953	10427	502
954	10437	491
955	10446	480
956	10455	469
957	10465	458
958	10476	447
959	10486	436
960	10496	425
961	10506	415
962	10515	404
963	10525	393
964	10537	382
965	10547	371
966	10557	360
967	10567	349
968	10577	338
969	10586	327
970	10597	316
971	10607	305
972	10619	294
973	10629	283
974	10639	272
975	10649	261
976	10659	250
977	10670	240
978	10682	229
979	10692	218
980	10701	207
981	10712	196
982	10721	185
983	10731	174
984	10740	163
985	10749	152
986	10759	141
987	10769	130
988	10778	119
989	10788	108
990	10797	98
991	10807	87
992	10817	76
993	10827	65
994	10836	54
995	10848	43
996	10859	32
997	10868	21
998	10877	10
999	10887	0
